Position; Driver        ; Laps; Best Lap ; Fast Lap; Gap   ; Points
       1; Oscaristo     ;   16; 00:47.204;       13; 00.000;     
       2; Crosshairs4G63;   16; 00:47.105;        9; 00.684;     28
       3; o11ve         ;   16; 00:47.492;       10; 09.784;     15
       4; Ceri          ;   16; 00:47.366;       11; 11.776;     12
       5; JeZzZuZ       ;   16; 00:47.510;       14; 15.182;     10
       6; Gillet        ;   16; 00:48.591;       11; 23.698;      8
       7; Createc       ;   16; 00:48.600;        9; 27.651;      6
       8; Adri          ;   16; 00:49.051;        5; 33.409;      4
       9; Joan          ;   16; 00:48.979;       13; 37.195;      2
      10; M. Motos      ;   15; 00:49.618;        7; 1 Laps;      1
      11; Diego         ;   15; 00:49.159;       14; 1 Laps;      0
      12; Bellido       ;   14; 00:53.736;       14; 2 Laps;      0
