Position; Driver        ; Laps; Best Lap ; Fast Lap; Gap
       1; Oscaristo     ;    9; 00:47.213;        9; -
       2; o1ve          ;    8; 00:47.429;        8; 0.216
       3; Crosshairs4G63;    9; 00:47.492;        9; 0.279
       4; Ceri          ;    9; 00:47.573;        6; 0.360
       5; JeZzZuZ       ;    9; 00:48.068;        3; 0.855
       6; Createc       ;    9; 00:48.988;        7; 1.775
       7; Adri          ;    9; 00:49.032;        6; 1.819
       8; Gillet        ;    9; 00:49.420;        9; 2.207
       9; Joan          ;    8; 00:49.736;        7; 2.523
      10; M. Motos      ;    8; 00:51.736;        7; 4.523
      11; BOSCH         ;    3; 00:51.925;        1; 4.712
      12; Diego         ;    7; 00:52.168;        6; 4.955
      13; Bellido       ;    7; 00:53.655;        3; 6.442
